! ConsToPrim(): p(E) < 0 (-1.37e+05),   @step = 210732 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-6.52e+04),   @step = 210732 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-4.93e+05),   @step = 210733 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.28e+05),   @step = 210733 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-4.40e+04),   @step = 210734 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-3.87e+04),   @step = 210734 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.92e+05),   @step = 210737 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-9.95e+04),   @step = 210737 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-2.86e+05),   @step = 210738 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-1.43e+05),   @step = 210738 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-4.18e+05),   @step = 210739 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-1.43e+05),   @step = 210739 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-1.59e+05),   @step = 210740 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-7.61e+04),   @step = 210740 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-1.55e+05),   @step = 210741 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-6.65e+04),   @step = 210741 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-2.22e+05),   @step = 210742 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-1.14e+05),   @step = 210742 (stage = 3); [i = 4], [x1 = 1.948750]
